time,lat,lon,station,sea_surface_temp,salinity
2022-01-01,21.4546,91.9997,ST-COXB,27.72,33.39
2022-01-01,22.3163,91.8308,ST-CTG,27.66,33.57
2022-01-01,21.9125,89.1783,ST-SDB,27.42,33.85
2022-01-01,22.5144,90.8323,ST-MGE,27.47,32.45
2022-01-01,21.9888,90.1731,ST-KHP,27.7,33.26
2022-02-01,21.453,91.9913,ST-COXB,28.51,33.79
2022-02-01,22.3847,91.7527,ST-CTG,28.21,32.09
2022-02-01,21.9151,89.2016,ST-SDB,28.38,33.94
2022-02-01,22.4826,90.787,ST-MGE,28.21,32.38
2022-02-01,21.9463,90.2143,ST-KHP,28.07,33.34
2022-03-01,21.4209,92.0391,ST-COXB,28.62,32.62
2022-03-01,22.3901,91.8137,ST-CTG,28.43,32.58
2022-03-01,21.9679,89.1473,ST-SDB,28.32,32.01
2022-03-01,22.5287,90.8165,ST-MGE,28.62,33.56
2022-03-01,21.9792,90.2236,ST-KHP,28.28,32.23
2022-04-01,21.444,92.0029,ST-COXB,28.27,33.53
2022-04-01,22.3704,91.7886,ST-CTG,28.27,32.61
2022-04-01,21.9028,89.177,ST-SDB,28.06,32.82
2022-04-01,22.5353,90.7734,ST-MGE,27.97,32.56
2022-04-01,21.9627,90.2329,ST-KHP,28.27,33.57
2022-05-01,21.4436,91.9964,ST-COXB,27.69,32.33
2022-05-01,22.3092,91.7422,ST-CTG,27.63,32.92
2022-05-01,21.9158,89.1834,ST-SDB,27.29,33.39
2022-05-01,22.4946,90.7881,ST-MGE,27.38,33.26
2022-05-01,21.9695,90.1755,ST-KHP,27.27,33.92
2022-06-01,21.4681,92.0258,ST-COXB,26.36,33.94
2022-06-01,22.3848,91.8049,ST-CTG,26.47,32.54
2022-06-01,21.9093,89.2236,ST-SDB,26.47,32.4
2022-06-01,22.4806,90.8079,ST-MGE,26.31,33.71
2022-06-01,22.0092,90.2386,ST-KHP,26.46,33.25
2022-07-01,21.4356,92.0208,ST-COXB,25.25,32.83
2022-07-01,22.3111,91.7826,ST-CTG,25.4,32.29
2022-07-01,21.91,89.1921,ST-SDB,25.3,33.85
2022-07-01,22.5081,90.7847,ST-MGE,25.55,32.05
2022-07-01,22.0292,90.2149,ST-KHP,25.67,32.17
2022-08-01,21.4259,92.0049,ST-COXB,25.03,33.14
2022-08-01,22.3542,91.7599,ST-CTG,24.67,33.04
2022-08-01,21.9436,89.1355,ST-SDB,24.96,33.79
2022-08-01,22.464,90.8054,ST-MGE,24.53,33.34
2022-08-01,21.9614,90.2326,ST-KHP,24.9,33.54
2022-09-01,21.388,92.0474,ST-COXB,24.34,32.07
2022-09-01,22.3624,91.7703,ST-CTG,24.7,33.62
2022-09-01,21.9314,89.2286,ST-SDB,24.37,33.03
2022-09-01,22.4756,90.8436,ST-MGE,24.3,32.09
2022-09-01,21.9768,90.2659,ST-KHP,24.74,33.5
2022-10-01,21.4663,92.0451,ST-COXB,24.78,32.63
2022-10-01,22.3841,91.7994,ST-CTG,24.69,32.19
2022-10-01,21.9744,89.1595,ST-SDB,25.03,32.48
2022-10-01,22.4623,90.8331,ST-MGE,24.56,32.36
2022-10-01,21.9932,90.2542,ST-KHP,24.59,32.62
2022-11-01,21.4549,92.053,ST-COXB,25.5,32.29
2022-11-01,22.3083,91.7562,ST-CTG,25.28,33.36
2022-11-01,21.9119,89.1839,ST-SDB,25.62,33.16
2022-11-01,22.47,90.8304,ST-MGE,25.63,33.48
2022-11-01,21.9464,90.1791,ST-KHP,25.76,32.8
2022-12-01,21.4073,92.0047,ST-COXB,26.6,33.91
2022-12-01,22.3355,91.8257,ST-CTG,26.21,33.11
2022-12-01,21.9631,89.1439,ST-SDB,26.28,32.84
2022-12-01,22.5466,90.8096,ST-MGE,26.76,33.61
2022-12-01,21.98,90.2452,ST-KHP,26.21,32.22
2023-01-01,21.4601,92.0355,ST-COXB,27.34,33.06
2023-01-01,22.3675,91.82,ST-CTG,27.56,32.83
2023-01-01,21.9371,89.1759,ST-SDB,27.59,33.73
2023-01-01,22.4954,90.7748,ST-MGE,27.34,33.49
2023-01-01,22.015,90.1772,ST-KHP,27.24,33.19
